year,region,substance,study,mean,sd,citation
2011,China,CFC-11,OFED,13.03081035,5.06743565,
2012,China,CFC-11,OFED,13.29332386,5.695442002,
2013,China,CFC-11,OFED,14.07770606,5.588478655,
2014,China,CFC-11,OFED,12.09119625,3.991778159,
2015,China,CFC-11,OFED,13.19754102,5.815852631,
2016,China,CFC-11,OFED,11.64827756,4.241090097,
2017,China,CFC-11,OFED,14.9387012,4.985892863,
2018,China,CFC-11,OFED,16.32065526,5.639407021,
2019,China,CFC-11,OFED,11.16007976,3.13015705,
2020,China,CFC-11,OFED,13.89287846,3.110918013,
2011,China,CFC-12,"Ma et al., 2024",15.11444,2.32187,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2012,China,CFC-12,"Ma et al., 2024",10.78942,1.93435,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2013,China,CFC-12,"Ma et al., 2024",15.48856,3.09154,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2014,China,CFC-12,"Ma et al., 2024",11.50223,1.85568,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2015,China,CFC-12,"Ma et al., 2024",13.46533,2.3462,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2016,China,CFC-12,"Ma et al., 2024",13.61092,1.85048,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2017,China,CFC-12,"Ma et al., 2024",9.31254,1.47922,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2018,China,CFC-12,"Ma et al., 2024",8.93562,1.25999,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2019,China,CFC-12,"Ma et al., 2024",5.09714,1.05546,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2020,China,CFC-12,"Ma et al., 2024",7.07741,1.14779,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2024,China,CFC-12,"Ma et al., 2026",3.6,0.8,"Ma, M. et al. Sustained Decline in CFC-12 Emissions from China: Evidence for Successful Phase-out under the Montreal Protocol and Global Implications. Environ. Sci. Technol. 60, 1791-1799 (2026)."
2011,China,CFC-113,OFED,7.444693024,1.447908322,
2012,China,CFC-113,OFED,7.676484823,1.443809691,
2013,China,CFC-113,OFED,7.216322171,1.629198968,
2014,China,CFC-113,OFED,8.058203736,1.554577723,
2015,China,CFC-113,OFED,8.195150031,1.795841751,
2016,China,CFC-113,OFED,8.708868759,1.340890899,
2017,China,CFC-113,OFED,6.708344256,0.896958843,
2018,China,CFC-113,OFED,7.811681008,0.877114518,
2019,China,CFC-113,OFED,6.155040087,0.801216724,
2020,China,CFC-113,OFED,9.288152481,0.879977123,
2011,China,HCFC-22,"Fang et al., 2019",139,35,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2012,China,HCFC-22,"Fang et al., 2019",154,51,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2013,China,HCFC-22,"Fang et al., 2019",172,37,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2014,China,HCFC-22,"Fang et al., 2019",159,34,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2015,China,HCFC-22,"Fang et al., 2019",146,44,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2016,China,HCFC-22,"Fang et al., 2019",147,36,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2017,China,HCFC-22,"Fang et al., 2019",147,26,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2018,China,HCFC-22,"Sun et al., 2024",172,40,"Sun, Y. et al. Emissions of HCFC-22 and HCFC-142b in China during 2018-2021 Inferred from Inverse Modeling. Environ. Sci. Technol. 58, 13273-13283 (2024)."
